Title,Developer(s)
Barnyard NA • Nickelodeon Barnyard PAL • La Ferme en Folie FR • El Corral ES • Barnyard Il Cortile IT,Halfbrick Studios
Baseball Advance NA • Greatest Nine JP,Smilebit
Bass Tsuri Shiyouze!: Tournament wa Senryaku da!,
Batman Begins,Vicarious Visions
Batman: Rise of Sin Tzu,Ubisoft
Batman: Vengeance,Ubisoft Montreal
Battle B-Daman NA • B-Densetsu! Battle B-Daman Moero! B-Kon JP,Atlus
Battle B-Daman: Fire Spirits! NA • B-Densetsu! Battle B-Daman Honoo Tamashii JP,Atlus
Battle x Battle: Kyoudai Uo Densetsu,Starfish
BattleBots: Beyond the BattleBox,Cave Barn
BattleBots: Design & Destroy,Cave Barn
BB Ball,Micott & Basara
Beast Shooter: Mezase Beast King,Hudson Soft
"The Bee Game NA, PAL • Die Biene Maja: Klatschmohnwiese in Gefahr DE",Independent Arts
The Berenstain Bears and the Spooky Old Tree,Program-Ace
Best Play Pro Yakyuu (Best Play Pro Baseball),ParityBit
Beyblade: G-Revolution,Full Fat
Beyblade VForce: Ultimate Blader Jam,Full Fat
Bibi Blocksberg: Der Magische Hexenkreis DE,Morgen Studios
Bibi und Tina: Ferien auf dem Martinshof DE,Morgen Studios
The Bible Game,Crave
Big Mutha Truckers,Raylight Studios
Bionicle,Möbius Entertainment
Bionicle Heroes,Amaze Entertainment
Bionicle: Matoran Adventures,Argonaut Games
Bionicle: Maze of Shadows,Razorback Developments
bit Generations: Boundish,Skip
bit Generations: Coloris,Skip
bit Generations: Dialhex,Skip
bit Generations: Digidrive,Q-Games
bit Generations: Dotstream,Skip
bit Generations: Orbital,Skip
bit Generations: Soundvoyager,Skip
Black Belt Challenge,Lost Boys
Black Black,Capcom
Black Matrix Zero,Flight-Plan
Blackthorne,Mass Media Inc.
Blades of Thunder,InterActive Vision Games
Bleach Advance: Kurenai ni Somaru Soul Society,Alpha Unit
Blender Bros.,A.I
BMX Trick Racer,Hypnotix
Board Game Classics NA • Board Game Classics: Chess & Draughts & Backgammon PAL,Black Lantern Studios
Bobobo-bo Bo-bobo: 9 Kiwame Senshi Gyagu Yuugou,
Bobobo-bo Bo-bobo: Backutou Hajike Taisen,
Bobobo-bo Bo-bobo: Majide!!? Shinken Shoubu,Rokumendo
Bobobo-bo Bo-bobo: Ougi 87.5 Bakuretsu Hanage Shinken,
"Boktai: The Sun is in Your Hand NA, PAL • Bokura no Taiyō JP",Hideo Kojima Production
"Boktai 2: Solar Boy Django NA, PAL • Zoku Bokura no Taiyō Taiyō Shōnen Jango JP",Hideo Kojima Production
Boku no Kabuto Kuwagata,
Boku no Kabuto Mushi,
Boku no Kuwagata,
Boku wa Koukuu Kanseikan (I am an Air Traffic Controller),Graphic Research
Bomberman Jetters: Densetsu no Bomberman,A.I
Bomberman Jetters: Game Collection,Hudson Soft
"Bomberman Max 2: Blue Advance NA, PAL • Bomberman Max 2: Bomberman Version JP",Hudson Soft
"Bomberman Max 2: Red Advance NA, PAL • Bomberman Max 2: Max Version JP",Hudson Soft
"Bomberman Tournament NA, PAL • Bomberman Story JP",Hudson Soft
Bookworm,PopCap
Bouken Yuuki Pluster World: Densetsu no Plust Gate,Will
Bouken Yuuki Pluster World: Densetsu no Plust Gate EX,Will
Bouken Yuuki Pluster World: Pluston GP,Will
Bouken-Ou Beet: Busters Road,
Boukyaku no Senritsu: The Melody of Oblivion,Alpha Unit
Boulder Dash EX,Vision Works
Boxing Fever,Digital Fiction
Bratz,DC Studios
Bratz Babyz,Barking Lizards
Bratz: Forever Diamondz,Barking Lizards
Bratz: Rock Angelz,Altron
Bratz: The Movie,Barking Lizards
"Breath of Fire NA, PAL • Breath of Fire: Ryuu no Senshi JP",Capcom
"Breath of Fire II NA, PAL • Breath of Fire II: Shimei no Ko JP",Capcom
Britney's Dance Beat,Art
"Broken Sword: The Shadow of the Templars NA, PAL • Broken Sword: Les Chevaliers de Baphomet FR",Revolution Software
Bruce Lee: Return of the Legend,Vicarious Visions
Bubble Bobble Old & New,Taito Corporation
"Buffy the Vampire Slayer: Wrath of the Darkhul King NA, PAL • Buffy Contre les Vampires: La Colère de Darkhul FR • Buffy im Bann der Daemonen: Koenig Darkhuls Zorn DE","Natsume Co., Ltd."
Butt-Ugly Martians: B.K.M. Battles,Runecraft
Cabbage Patch Kids: The Patch Puppy Rescue,1st Playable Productions
Cabela's Big Game Hunter,ImageBuilder Software
Cabela's Big Game Hunter 2005 Adventures,Torus Games
Caesars Palace Advance: Millennium Gold Edition,
Calcio Bit,ParityBit
Camp Lazlo: Leaky Lake Games,Collision Studios
Candy Land / Chutes and Ladders / Original Memory Game,Black Lantern Studios
Capcom Classics Mini-Mix,Digital Eclipse
Captain Tsubasa: Eikou no Kiseki (Captain Tsubasa: Road to Glory),
Car Battler Joe NA • Gekitou! Car Battler Go!! JP,Ancient
Cardcaptor Sakura: Sakura Card de Mini-Game,Affect
Cardcaptor Sakura: Sakura Card-hen - Sakura Card to Tomodachi,
Card Party,NDcube
"Care Bears: Care Quest NA, PAL • Les Bisounours: Mission Câlins FR",Sirius Games
Carrera Power Slide,Tiertex Design Studios
"Cars NA, PAL • Cars: Motori Ruggenti IT",Helixe
"Cars Mater-National Championship NA, PAL • Cars: La Coupe Internationale de Martin FR",Tantalus
Cartoon Network: Block Party,Majesco Entertainment
Cartoon Network Speedway,DC Studios
Casper,Planet Interactive
"Castlevania: Aria of Sorrow NA, PAL • Castlevania: Akatsuki no Minuet JP",KCEK
Castlevania: Circle of the Moon NA • Castlevania PAL • Akumajou Dracula: Circle of the Moon JP,KCEK
"Castlevania: Harmony of Dissonance NA, PAL • Castlevania: Byakuya no Conserto JP",KCEK
Catwoman,Magic Pockets
"Catz NA, PAL • Nakayoshi Pet Advance Series 3: Kawaii Koneko JP","MTO / Powerhead Games NA, PAL"
Centipede / Breakout / Warlords,Epicenter Interactive
Cesti to Meigurumi-tachi no Mahou no Bouken: Kisekko Gurumii,
"Charlie and the Chocolate Factory NA, PAL • Charlie et la Chocolaterie FR",High Voltage Software
"Charlotte's Web NA, PAL • Le Petit Monde de Charlotte FR • Schweinchen Wilbur und seine Freunde DE • La Telaraña de Carlota ES • Le Tela di Carlotta IT",Backbone Entertainment
The Cheetah Girls,Gorilla Systems
The Chessmaster,
Chicken Shoot,FrontLine Studios
Chicken Shoot 2,FrontLine Studios
Chobits: Atashi Dake no Hito,
Chocobo Land: A Game of Dice,Square
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe NA, PAL • Le Monde de Narnia Chapitre 1: Le Lion, la Sorcière Blanche et l'Armoire Magique FR • Die Chroniken von Narnia: Der König von Narnia DE • Las Crónicas de Narnia: El León, la Bruja y El Ropero ES • Le Cronache Di Narnia: Il Leone, La Strega e L'armadio IT • De Kronieken van Narnia: De leeuw, de heks en de kleerkast NL",Amaze Entertainment
ChuChu Rocket!,Sonic Team
CIMA: The Enemy NA • Frontier Stories JP,Neverland
Cinnamon: Yume no Daibouken,
Cinnamoroll FuwaFuwa Daibouken,
Cinnamoroll Koko ni Ruyo,A.I
"Classic NES Series: Bomberman NA, PAL • Famicom Mini: Bomberman JP",Hudson Soft
"Classic NES Series: Castlevania NA, PAL • Famicom Mini: Akumajou Dracula JP",Konami
"Classic NES Series: Donkey Kong NA, PAL • Famicom Mini: Donkey Kong JP",Nintendo
"Classic NES Series: Dr. Mario NA, PAL • Famicom Mini: Dr. Mario JP",Nintendo
"Classic NES Series: Excitebike NA, PAL • Famicom Mini: Excitebike JP",Nintendo
"Classic NES Series: Ice Climber NA, PAL • Famicom Mini: Ice Climber JP",Nintendo
"Classic NES Series: The Legend of Zelda NA, PAL • Famicom Mini: Zelda no Densetsu JP",Nintendo
"Classic NES Series: Metroid NA, PAL • Famicom Mini: Metroid JP",Nintendo
"Classic NES Series: Pac-Man NA, PAL • Famicom Mini: Pac-Man JP",Namco
"Classic NES Series: Super Mario Bros. NA, PAL • Famicom Mini: Super Mario Bros. JP",Nintendo
"Classic NES Series: Xevious NA, PAL • Famicom Mini: Xevious JP",Namco
"Classic NES Series: Zelda II: The Adventure of Link NA, PAL • Famicom Mini: The Legend of Zelda 2: Link no Bouken JP",Nintendo
Cocoto Kart Racer,Neko Entertainment
Cocoto Platform Jumper,Neko Entertainment
Codename: Kids Next Door – Operation: S.O.D.A.,Vicarious Visions
Colin McRae Rally 2.0,Spellbound
Columns Crown,Wow Entertainment
Combat Choro Q: Advance Daisakusen,Access
Comix Zone,Virtucraft
Connect Four / Perfection / Trouble,Gravity-I
"Contra Advance: The Alien Wars EX NA, PAL • Contra: Hard Spirits JP",TOSE
Corvette,Visual Impact
Crash Bandicoot: The Huge Adventure NA • Crash Bandicoot Advance JP • Crash Bandicoot XS PAL,Vicarious Visions
"Crash Bandicoot 2: N-Tranced NA, PAL • Crash Bandicoot Advance 2: Guru Guru Sai Min Dai Panic! JP",Vicarious Visions
Crash Bandicoot Purple: Ripto's Rampage NA • Crash Bandicoot Advance: Wakuwaku Tomodachi Daisakusen! JP • Crash Bandicoot: Fusion PAL,Vicarious Visions
"Crash Nitro Kart NA, PAL • Crash Bandicoot: Bakusou! Nitro Kart JP",Vicarious Visions
Crash of the Titans,Amaze Entertainment
Crayon Shin-Chan: Arashi no Yobu Cinema-Land no Daibouken! JP • Shinchan: Aventuras en Cineland ES,Inti Creates
Crayon Shin-Chan: Densetsu o Yobu Omake no To Shukkugaan! JP • Shinchan contra los muñecos de Shock Gahn ES,Inti Creates
Crazy Frog Racer,Neko Entertainment
Crazy Chase,Kemco
Crazy Taxi: Catch a Ride,Graphic State
Creatures,Elo Interactive
Croket! Great Jikuu no Boukensha,Jupiter
Croket! Yume no Banker Survival!,
Croket! 2: Yami no Bank to Ban Joou,
Croket! 3: Granyuu Oukoku no Nazo,
Croket! 4: Bank no Mori no Mamorigami,
"Crouching Tiger, Hidden Dragon",Ubisoft Shanghai
Cruis'n Velocity,Graphic State
Crushed Baseball,Griptonite Games
CT Special Forces,Light and Shadow Productions
CT Special Forces 2: Back in the Trenches NA • CT Special Forces 2: Back to Hell PAL,Light and Shadow Productions
CT Special Forces 3: Bioterror,Light and Shadow Production
Cubix: Robots for Everyone: Clash 'n Bash,Blitz Games / HumanSoft
"Curious George NA, PAL • Georges le Petit Curieux FR",Torus Games
Custom Robo GX,Noise
Cyber Drive Zoids: Hatakedamono no Senshi Hugh,Amedio
Dai-Mahjong,
Daisenryaku,
Daisuki Teddy,
Dan Doh!! Tobase Shouri no Smile Shot,
Dan Doh!! Xi,
Dancing Sword: Senkou (Dancing Sword: Flash),
"Danny Phantom: The Ultimate Enemy NA, PAL • Danny Fantome: L'Ultime Ennemi FR",Altron
"Danny Phantom: Urban Jungle NA, PAL • Danny Phantom: Dschungelstadt DE",Altron
Daredevil,Griptonite Games
Darius R,"RideonJapan, Inc."
Dark Arena,Graphic State
Dave Mirra Freestyle BMX 2,Full Fat
Dave Mirra Freestyle BMX 3,Full Fat
David Beckham Soccer,Yoyo Entertainment
Davis Cup Tennis,Hokus Pokus Games
Dead to Rights,Torus Games
Deal or No Deal,Gravity-I
Defender NA • Defender: For All Mankind PAL,Outlook Entertainment
Defender of the Crown,Crawfish Interactive
DemiKids: Dark Version NA • Shin Megami Tensei: Devil Children Yami no Sho JP,Multimedia Intelligence Transfer
DemiKids: Light Version NA • Shin Megami Tensei: Devil Children Hikari no Sho JP,Multimedia Intelligence Transfer
Demon Driver: Time to Burn Rubber,AIA USA
Denki Blocks!,Rage Software
Densetsu no Stafy (Legendary Starfy),TOSE
Densetsu no Stafy 2 (Legendary Starfy 2),TOSE
Densetsu no Stafy 3 (Legendary Starfy 3),TOSE
Derby Stallion Advance,ParityBit
Desert Strike Advance,Budcat Creations
Dexter's Laboratory: Chess Challenge,Virtucraft
Dexter's Laboratory: Deesaster Strikes!,Virtucraft
DiaDroids World: Evil Teikoku no Yabou,
Di Gi Charat: Di Gi Communication,M2
Di Gi Communication 2: Datou! Black GemaGema Dan!,M2
Digimon Battle Spirit,Dimps
Digimon Battle Spirit 2,Dimps
Digimon Racing,Griptonite Games
Dinotopia: The Timestone Pirates,RFX Interactive
"Disney Princess NA, PAL • Disney Princesse FR • Disney Prinzessinnen DE • Disney Princesas ES • Disney Principesse IT",Art
"Disney's Princess Royal Adventure NA, PAL • Disney Princesses: Aventures Enchantées FR • Disney Prinzessinnen: Königliches Abenteuer DE",Konami
Disney Sports Basketball,Konami
Disney Sports Football NA • Disney Sports: American Football JP,Konami
Disney Sports Motocross,Konami
Disney Sports Skateboarding,Konami
Disney Sports Snowboarding,Konami
Disney Sports Soccer NA • Disney Sports Football PAL,Konami
Disney's Aladdin,Capcom
Disney's American Dragon: Jake Long - Rise of the Huntsclan,WayForward
"Disney's Atlantis: The Lost Empire NA, PAL • Atlantide: L'Empire Perdu FR • Atlantis: Das Geheimnis der verlorenen Stadt DE",3d6 Games
"Disney's Brother Bear NA, PAL • Disney's Frère des Ours FR • Disney's Bären Brüder DE • Disney Hermano Oso ES • Disney Koda Fratello Orso IT",Vicarious Visions
"Disney's Chicken Little NA, PAL • Disneys Himmel und Huhn DE",Artificial Mind and Movement
"Disney's Cinderella: Magical Dreams NA, PAL • Disney Cendrillon: Le Bal Enchanté FR • Disneys Cinderella: Zauberhafte Träume ES • Disney La Cenicienta: Sueños Mágicos ES • Disney Cenerentola: Il Sogno si Avvera! IT",DC Studios
Disney's Extreme Skate Adventure,Vicarious Visions
Disney's Herbie: Fully Loaded,Climax
"Disney's Home on the Range NA, PAL • Disney La Ferme se Rebelle FR • Disney Zafarrancho en el Rancho ES",Artificial Mind and Movement
Disney's Kim Possible: Revenge of Monkey Fist NA • Disney's Kim Possible PAL • Disney's Kim Possible: Monkey Fist's Rache DE,Digital Eclipse
"Disney's Kim Possible 2: Drakken's Demise NA, PAL • Disney's Kim Possible JP • Disneys Kim Possible: Dr. Drakkens Untergang DE • Disney Kim Possible: Contra el Doctor Drakken ES",Artificial Mind and Movement
Disney's Kim Possible 3: Team Possible,Artificial Mind and Movement
Disney's Lilo & Stitch,Digital Eclipse
Disney's Lilo & Stitch 2: Hämsterviel Havoc NA • Disney's Lilo & Stitch 2 PAL • Disney's Lilo and Stitch JP,Firemint
Disney's Little Einsteins,InLight Entertainment
