Title,Developer(s)
Star Control,Toys For Bob
Star Cruiser,Arsys Software
Star Trek: Deep Space Nine – Crossroads of Time,Novotrade
Star Trek: The Next Generation: Echoes from the Past,MicroProse
Starflight,Binary Systems
Stargate,Probe Entertainment
Steel Empire Empire of SteelPAL,Hot-B
Steel Talons,Polygames
Stormlord,Hewson Consultants Punk Development
Street Fighter II': Special Champion Edition,Capcom
Street Racer,Vivid Image
Street Smart,Treco
Streets of Rage,Sega
Streets of Rage 2,Sega Ancient Shout! Design Works MNM Software H.I.C.
Streets of Rage 3,Sega Ancient
Strider,Sega
Strider II Journey from Darkness: Strider ReturnsNA,Tiertex
Striker,Rage Software
Sub-Terrania,Zyrinx
Summer Challenge,Accolade
Sunset Riders,Konami
Super Baseball 2020,Pallas NuFX
Super Battleship,Synergistic
Super Battletank: War in the Gulf,Imagineering
Super Daisenryaku,Sega
Super Fantasy Zone,Sunsoft
Super Hang-On,Sega
Super High Impact,Beam Software
Super Hydlide,T&E Soft
Super Kick Off,Anco Software Tiertex
Super Monaco GP,Sega
Ayrton Senna's Super Monaco GP II,Sega
Super Off Road,Software Creations
Super Skidmarks,Acid
Super Smash TV,Probe Software
Super Street Fighter II,Capcom
Super Thunder Blade,Sega
Super Volleyball,Khaos
Superman Superman: The Man of SteelPAL,Sunsoft
Surging Aura,Japan Media Programming Sega
Sword of Sodan,Innerprise Software
Sword of Vermilion,Sega
Syd of Valis,I.S.C.
Sylvester and Tweety in Cagey Capers,"Alexandria, Inc."
Syndicate,Bullfrog Productions
Terminator 2: Judgment Day,Bits Studios
T2: The Arcade Game,Probe Software
Taikō Risshiden,Koei
TaleSpin,Sega InterActive
Target Earth Assault Suit LeynosJP,NCS
Task Force Harrier EX,NMK Jorudan Opus
Taz-Mania,Recreational Brainware Nu Romantic Productions
Taz in Escape from Mars,Headgames Nu Romantic Productions
Team USA Basketball Dream Team USAJP,Electronic Arts
Technoclash,Zono BlueSky Software Nu Romantic Productions
Techno Cop,Gray Matter Inc. Imagexcel Punk Development
Tecmo Super Baseball,Tecmo
Tecmo Super Bowl,Tecmo
Tecmo Super Bowl II: Special Edition,Tecmo
Tecmo Super Bowl III: Final Edition,Tecmo
Tecmo Super Hockey,Malibu Games
Tecmo Super NBA Basketball,Sculptured Software
Tecmo World Cup Tecmo World Cup '92JP,SIMS Hertz
Teenage Mutant Ninja Turtles: The Hyperstone Heist Teenage Mutant Hero Turtles: The Hyperstone HeistPAL Teenage Mutant Ninja Turtles: Return of the ShredderJP,Konami
Teenage Mutant Ninja Turtles: Tournament Fighters Teenage Mutant Hero Turtles: Tournament FightersPAL,Konami
Tel-Tel Mahjong,Sunsoft Chatnoir
Tel-Tel Stadium,Sunsoft
The Terminator,Probe Software Krisalis Software
Tetris,Sanritsu Denki
Theme Park,Bullfrog Productions Images Software
Thomas the Tank Engine & Friends,Malibu Interactive
Thunder Force II,Technosoft
Thunder Force III,Technosoft
Thunder Force IV Lightning Force: Quest for the DarkstarNA,Technosoft
Thunder Fox,Taito Aisystem Tokyo
Thunder Pro Wrestling Retsuden,Human Entertainment
The Tick,Software Creations
Time Killers,Incredible Technologies
Tinhead,MicroProse
Tintin in Tibet,Infogrames
Tiny Toon Adventures: ACME All-Stars,Konami
Tiny Toon Adventures: Buster's Hidden Treasure,Konami
TNN Bass Tournament of Champions,Imagitec Design
TNN Outdoors Bass Tournament '96,Imagitec Design
Todd's Adventures in Slime World,Micro World
ToeJam & Earl,Johnson-Voorsanger Productions
ToeJam & Earl in Panic on Funkotron,Johnson-Voorsanger Productions
Tōgi Ō: King Colossus,Sega
Toki: Going Ape Spit,TAD Santos Sega
Tom & Jerry: Frantic Antics!,Beam Software
Tommy Lasorda Baseball Super LeagueJP/PAL,Sega
Tony La Russa Baseball,Beyond Software Electronic Arts
Top Gear 2,Gremlin Graphics
Top Pro Golf,Soft Vision
Total Football,Domark
Toughman Contest,Visual Concepts High Score Productions
Toxic Crusaders,Infogrames
Toy Story,Traveller's Tales Psygnosis
Toys,Absolute Entertainment
Trampoline Terror!,NCS
Traysia,Telenet Japan
Triple Play Baseball '96,Extended Play Productions
Triple Play: Gold Edition,EA Canada
Trouble Shooter Battle ManiaJP,Vic Tokai
Troy Aikman NFL Football,Leland Interactive Media
True Lies,Beam Software
Truxton,Toaplan
Turbo Outrun,Sega AM2
Turrican,Rainbow Arts Code Monkeys Ltd.
Twin Cobra: Desert Attack Helicopter Kyūkyoku TigerJP,Toaplan GRC
Twin Hawk,Toaplan
Twinkle Tale,Zap Corporation
Two Crude Dudes,Data East ISCO Opera House
Two Tribes: Populous II,Panelcomp
Uchū Senkan Gomora,UPL Aisystem Tokyo
Ultimate Mortal Kombat 3,Avalanche Software
Ultimate Qix VolfiedJP,ITL
Ultimate Soccer,Rage Software
Ultraman,Human Entertainment
Uncharted Waters,Koei
Uncharted Waters: New Horizons,Koei
Undeadline,T&E Soft
Universal Soldier,Rainbow Arts Code Monkeys Ltd.
Unnecessary Roughness '95,Accolade
Urban Strike,Granite Bay Software Foley Hi-Tech
Uzu Keobukseon,Samsung
Valis: The Fantasm Soldier,Riot
Valis III,Telenet Japan
Vapor Trail,Data East
Vectorman,BlueSky Software
Vectorman 2,BlueSky Software
Venom/Spider-Man: Separation Anxiety,Software Creations
Verytex,Opera House ISCO
Viewpoint,Nexus Interact
Virtua Fighter 2,Success Gaibrain Winds
Virtua Racing,Sega AM2
Virtual Bart,Sculptured Software
Virtual Pinball,BudgeCo
Vixen 357,NCS Opus
VR Troopers,Syrox Developments
Wacky Worlds Creativity Studio,Headgames Nu Romantic Productions
Wani Wani World,Inter State
Wardner Wardner no Mori SpecialJP,Toaplan Visco Corporation
Warlock,Realtime Associates Trimark Interactive
WarpSpeed,Accolade
Warrior of Rome Caesar no YabouJP,Micronet
Warrior of Rome II Caesar no Yabou IIJP,Micronet
Warsong LangrisserJP,Team Career
Wayne Gretzky and the NHLPA All-Stars,Time Warner Interactive Cygnus Multimedia DMP Productions
Wayne's World,Gray Matter Inc.
Weaponlord,Visual Concepts
Wheel of Fortune,Imagitec Design
Where in the World Is Carmen Sandiego?,EA Canada
Where in Time is Carmen Sandiego?,EA Canada
Whip Rush,Vic Tokai
Williams Arcade's Greatest Hits Midway Presents Arcade's Greatest HitsPAL,Digital Eclipse Software Image Impressions
Wimbledon Championship Tennis WimbledonPAL/JP,Sega
Winter Challenge,MindSpan Technologies
Winter Olympics,Tiertex
Wiz 'n' Liz Wiz 'n' Liz: The Frantic Wabbit WescuePAL,Raising Hell Productions Krisalis Software
Wolfchild,Core Design Krisalis Software
Wolverine: Adamantium Rage,Teeny Weeny Games
Wonder Boy III: Monster Lair,Aicom
Wonder Boy in Monster World,Westone
World Championship Soccer World Cup Italia '90PAL World Cup SoccerJP,Sega
World Championship Soccer 2 World Championship Soccer IINA,Graftgold
World Class Leaderboard Golf,Access Software Tiertex
World Cup USA '94,Tiertex
World Heroes,Sega Midwest Studio
World of Illusion,Sega
World Series Baseball,BlueSky Software
World Series Baseball '95,BlueSky Software
World Series Baseball '96,BlueSky Software
World Series Baseball '98,BlueSky Software
Worms,Team17 East Point Software
Wrestle War,Sega
WWF Raw,Sculptured Software
WWF Royal Rumble,Sculptured Software
WWF Super WrestleMania,Sculptured Software
WWF WrestleMania: The Arcade Game,Sculptured Software
X-Men,Western Technologies
X-Men 2: Clone Wars,Headgames Zono
X-Perts,Abalone Entertainment
XDR: X-Dazedly-Ray,Affect
Xenon 2: Megablast,The Bitmap Brothers
Yogi Bear: Cartoon Capers,Empire Interactive
Ys III: Wanderers from Ys,Riot
Yū Yū Hakusho Gaiden,GAU Entertainment
Yū Yū Hakusho Makyō Tōitsusen,Treasure
Zan: Yasha Enbukyoku,Wolf Team
Zany Golf,Sandcastle Productions
Zero the Kamikaze Squirrel,Iguana Entertainment
Zero Tolerance,Technopop
Zero Wing,Toaplan
Zombies Ate My Neighbors ZombiesPAL,LucasArts
Zool,Gremlin Graphics
Zoom!,Discovery Software Cyclone System Sigma Pro-Tech
Zoop,Hookstone Panelcomp
