Title,Developer(s)
Bishōjo Senshi Sailor Moon SuperS: Zenin Sanka! Shuyaku Soudatsusen,Angel
Bishōjo Wrestlinger's History: Beauty Girl Wrestling,Nihon Soft System
Blackthorne •BlackhawkEU,Blizzard Entertainment
BlaZeon: The Bio-Cyborg Challenge,AI
Block Kuzushi,OeRSTED
The Blue Crystal Rod,Game Studio
The Blues Brothers,Titus Software
Bomberman B-Daman [ja],A.I. Company Ltd.
Bonkers,Sun L
Boogerman: A Pick and Flick Adventure,Interplay Entertainment
Bounty Sword,ITL
Boxing Legends of the Ring •Chavez IIMX •Final KnockoutJP,Sculptured Software
Brain Lord,Produce
The Brainies,Titus Software
Bram Stoker's Dracula,PsygnosisTraveller's Tales
Brandish,Koei
Brandish 2: The Planet Buster,Koei
Brandish 2 Expert,Koei
Brawl Brothers [c] •Brawl Brothers: Rival Turf! 2EU •Rushing Beat Ran: Fukusei ToshiJP,Jaleco
BreakThru!,Artech Digital Entertainment
Breath of Fire,Capcom
Breath of Fire II [b],Capcom
Brett Hull Hockey,Radical Entertainment
Brett Hull Hockey '95,Radical Entertainment
Bronkie the Bronchiasaurus,WaveQuest
Brunswick World: Tournament of Champions,Tiertex Design Studios
Brutal: Paws of Fury •Brutal: Animal BurandenJP,Eurocom Entertainment Software
Bubsy in Claws Encounters of the Furred Kind •Yamaneko Bubsy no DaiboukenJP,AccoladeSolid Software
Bubsy II,Accolade
Bugs Bunny Rabbit Rampage •Bakkusu Banī Hachamecha DaibōkenJP,Viacom New Media
Bulls vs. Blazers and the NBA Playoffs •NBA Pro Basketball: Bulls vs BlazersJP,Electronic Arts
Burai: Hachigyoku no Yuushi Densetsu,Pandora Box
Bushi Seiryuuden: Futari no Yuusha,Game Freak
Bust-a-Move •Puzzle Bobble: Bust-a-MoveEU •Puzzle BobbleJP [b],Taito
Cacoma Knight in Bizyland •Cacoma KnightJP,Affect
Cal Ripken Jr. Baseball,Mindscape
California Games II,Silicon Sorcery
Cannon Fodder,Sensible Software
Cannondale Cup,Radical Entertainment
Capcom's MVP Football,Equilibrium
Capcom's Soccer Shootout •Soccer ShootoutEU •J. League Excite Stage '94JP,A-Max
Captain America and The Avengers,Realtime Associates
Captain Commando,Capcom
Captain Novolin,Sculptured Software
Captain Tsubasa 3: Koutei no Chousen,Tecmo
Captain Tsubasa 4: Pro no Rival Tachi,Tecmo
Captain Tsubasa 5: Hasha no Shōgō Campione,Tecmo
Captain Tsubasa J: The Way to World Youth,BEC
Caravan Shooting Collection [b],Hudson Soft
Carrier Aces,Synergistic Software
Casper,Imagineering
Casper (Japanese game),"Natsume Co., Ltd."
Castlevania: Dracula X •Castlevania: Vampire's KissEU •Akumajou Dracula XXJP [b],Konami
CB Chara Wars: Ushinawareta Gag,Almanic
Champions World Class Soccer,Park Place Productions
Championship Pool •Super BilliardJP,Bitmasters
The Chaos Engine •Soldiers of FortuneNA,Bitmap Brothers
Chaos Seed,Neverland
The Chessmaster,The Software Toolworks
Chester Cheetah: Too Cool to Fool,Kaneko
Chester Cheetah: Wild Wild Quest,Kaneko
Chibi Maruko-chan: Harikiri 365-Nichi no Maki,Pop HouseSAS Sakata
Chibi Maruko-chan: Mezase! Minami no Island!!,Konami
Chinhai,Pixel
Chō Aniki: Bakuretsu Rantouden,Bits Laboratory
Chō Mahou Tairiku WOZZ,Red Company
Choplifter III,Beam Software
Chrono Trigger,Square
Chuck Rock,Core Design
Civilization,Microprose
Classic Road,Opera House
Classic Road II,Opera House
ClayFighter,Visual Concepts
ClayFighter: Tournament Edition,Visual Concepts
ClayFighter 2: Judgment Clay,Interplay Entertainment
Claymates,Visual Concepts
Cliffhanger,Malibu Interactive
Clock Tower [b],Human Entertainment
ClockWerx,Axes Art Amuse
Clue,Sculptured Software
College Football USA '97: The Road to New Orleans,High Score Productions
College Slam,Iguana Entertainment
Columns [d],Marigul Management
The Combatribes,Technōs Japan
Computer Nouryoku Kaiseki: Ultra Baken,Culture Brain
Congo's Caper [c] •Tatakae Genshijin 2: Rookie no BoukenJP,Data East
Contra III: The Alien Wars [c] •Super Probotector: Alien RebelsEU •Contra SpiritsJP [b],Konami
Conveni Wars Barcode Battler Senki: Super Senshi Shutsugeki Seyo!,Pop HouseSAS Sakata
Cool Spot,Virgin Interactive Entertainment
Cool World,Painting by Numbers
Coron Land,Aroma
Cosmo Gang the Video [b],Namco
Cosmo Police Galivan II: Arrow of Justice,Cream
Crayon Shin-chan: Arashi wo yobu Enji,Sun L
Crayon Shin-chan 2: Daimaou no Gyakushuu,Sun L
Crystal Beans From Dungeon Explorer,Birthday
Cu-On-Pa [b],T&E Soft
Cutthroat Island,Software Creations (UK)
Cyber Knight,Advance Communication Company
Cyber Knight II: Chikyuu Teikoku no Yabou,Group SNE
Cyber Spin •Shinseiki GPX: Cyber FormulaJP,Takara
Cybernator •Juusou Kihen ValkenJP,Masaya
Cyborg 009,BEC
D-Force •Dimensional ForceJP,Asmik Ace Entertainment
Daffy Duck: The Marvin Missions,ICOM Simulations
Daibakushou Jinsei Gekijou [a],Taito
Daibakushou Jinsei Gekijou: Dokidoki Seishun,Taito
Daibakushou Jinsei Gekijou: Ooedo Nikki,Taito
Daibakushou Jinsei Gekijou: Zukkoke Salary Man Hen [b],Taito
Daikaijuu Monogatari,Birthday
Daikaijuu Monogatari 2,AIM
Daisenryaku Expert,SystemSoft Alpha
Daisenryaku Expert WWII: War in Europe,SystemSoft Alpha
Darius Twin,Taito
Dark Half [ja],West One
Dark Kingdom,Telenet Japan
Dark Law: Meaning of Death,SAS Sakata
Date Kimiko no Virtual Tennis,Jorudan
David Crane's Amazing Tennis,David Crane
Daze Before Christmas,Funcom
Deae Tonosama Appare Ichiban,Sunsoft
Dear Boys,Kan's
The Death and Return of Superman,Blizzard Entertainment
Death Brade,I'Max
Dekitate High School,C-Lab
Demolition Man,Virgin Interactive Entertainment
Demon's Crest •Demon's Blazon Makaimura Monshō-henJP [b],Capcom
Dennis the Menace •DennisEU,Ocean Software
Der Langrisser,NCS
Derby Jockey: Kishu Ou heno Michi,Graphic Research
Derby Jockey 2,Graphic Research
Derby Stallion II,ASCII Entertainment
Derby Stallion III,ASCII Entertainment
Derby Stallion '96,ASCII Entertainment
Derby Stallion '98 [d],ParityBit
Desert Strike: Return to the Gulf,Visual Concepts
Dezaemon: Kaite Tsukutte Asoberu,Athena
Dharma Doujou,Metro
Dig & Spike Volleyball •Volleyball TwinJP,Tose
Dino Dini's Soccer,Eurocom Entertainment Software
DinoCity •Dino Wars: Kyouryuu Oukoku heno DaiboukenJP,Irem
Dirt Racer,MotiveTime
Dirt Trax FX,Sculptured Software
Dokapon 3-2-1: Arashi wo Yobu Yujo,Asmik Ace Entertainment
Dokapon Gaiden: Honoo no Audition [a],Earthly Soft
Dolucky no Kusayakiu •Zoo BallNA,Zoom
Dolucky no Puzzle Tour '94,Zoom
Dolucky's A-League Soccer,Zoom
Donald Duck no Mahou no Boushi,Pop HouseSAS Sakata
"Donkey Kong Country [c] •Super Donkey KongJP, KR",Rare
"Donkey Kong Country 2: Diddy's Kong Quest [c] •Super Donkey Kong 2: Dixie & DiddyJP, KR",Rare
"Donkey Kong Country 3: Dixie Kong's Double Trouble! [c] •Super Donkey Kong 3: Nazo no Krems ShimaJP, KR",Rare
Doom,Sculptured Software
Doom Troopers,Adrenalin Interactive
Doomsday Warrior •Taiketsu!! Brass NumbersJP,Laser Soft
Doraemon: Nobita to Yousei no Kuni,Pop HouseSAS Sakata
Doraemon 2: Nobita no Toys Land Daibouken,Pop HouseSAS Sakata
