Title,Developer(s)
International Superstar Soccer Deluxe •Jikkyou World Soccer 2: Fighting ElevenJP [b],Konami
International Tennis Tour,Loriciel
Ippatsu Gyakuten: Keiba Keirin Kyoutei,Electronics Application
Iron Commando: Koutetsu no Senshi •Iron CommandoEU,Arcade Zone
Isozuri: Ritou Hen,
Itadaki Street 2: Neon Sign wa Bara Iro ni,Tomcat System
The Itchy & Scratchy Game,Bits Studios
Itoi Shigesato no Bass Tsuri No. 1,HAL Laboratory
Itou Haka Rokudan no Shougi Doujou,
Izzy's Quest for the Olympic Rings,Alexandria
J.League '96 Dream Stadium,A.I. Company Ltd.
J.League Excite Stage '95,A-Max
J.League Excite Stage '96,A-Max
J.League Soccer Prime Goal,Namco
J.League Soccer Prime Goal 2,
J.League Super Soccer '95 Jikkyou Stadium,A.I. Company Ltd.
"J.R.R. Tolkien's The Lord of the Rings, Vol. I",Interplay Entertainment
Jack Nicklaus Golf,Leland Interactive Media
Jaki Crush,Compile
Jaleco Rally: Big Run: The Supreme 4WD Challenge,
James Bond Jr.,Gray Matter
James Pond 3: Operation Starfish,Millennium Interactive
Jammes,Mighty Craft
Jammit,GTE Interactive Media
Janyuuki Gokuu Randa,
JB The Super Bass,Gaps
Jelly Boy,Probe Entertainment
Jeopardy!,Imagineering
Jeopardy! Deluxe Edition,
Jeopardy! Sports Edition,
The Jetsons: Invasion of the Planet Pirates •Youkai Buster: Ruka no DaiboukenJP,Sting Entertainment
Jikkyou Keiba Simulation: Stable Star,KCEO
Jikkyou Oshaberi Parodius,KCEO
Jikkyou Power Pro Wrestling '96: Max Voltage,Diamond Head
Jikkyou Powerful Pro Yakyuu: Basic Han '98,Diamond Head
Jikkyou Powerful Pro Yakyuu '94,
Jikkyou Powerful Pro Yakyuu '96 Kaimaku Han,Diamond Head
Jikkyou Powerful Pro Yakyuu 2,
Jikkyou Powerful Pro Yakyuu 3,Diamond Head
Jikkyou Powerful Pro Yakyuu 3 '97 Haru,Diamond Head
Jim Lee's WildC.A.T.S: Covert Action Teams,Beam Software
Jim Power: The Lost Dimension in 3-D,Loriciel
Jimmy Connors Pro Tennis Tour,Blue Byte
Jimmy Houston's Bass Tournament U.S.A. •Jissen! Bass Fishing Hisshouhou in USAJP,American Sammy
Jirou Akagawa: Majotachi no Nemuri,Minato Giken
Jissen Kyoutei,Aisystem Tokyo
Jissen Pachi-Slot Hisshouhou,
Jissen Pachi-Slot Hisshouhou! 2,
Jissen Pachi-Slot Hisshouhou! Classic,
Jissen Pachi-Slot Hisshouhou! Twin [a],
Jissen Pachi-Slot Hisshouhou! Twin Vol. 2,Tose
Jissen Pachi-Slot Hisshouhou! Yamasa Densetsu [a],
Jissen Pachinko Hisshouhou! 2,
Jissen! Mahjong Shinan,Syscom
Joe & Mac •Joe & Mac: Caveman NinjaEU •Joe & Mac: Tatakae GenshijinJP,Data East
Joe & Mac 2: Lost in the Tropics •Joe & Mac 3: Lost in the TropicsEU •Tatakae Genshijin 3: Shuyaku wa Yappari Joe & MacJP,Data East
John Madden Football •Pro FootballJP,Park Place Productions
John Madden Football '93 •Pro Football '93JP,EA Canada
JoJo no Kimyou na Bouken,Winkysoft
Joushou Mahjong Tenpai,Game Arts
Judge Dredd,Probe Entertainment
Jumpin' Derby,KID
The Jungle Book,Eurocom Entertainment Software
Jungle no Ouja Tar-chan: Sekai Man'yuu Dai Kakutou no Maki,Kuusoukagaku
Jungle Strike,Gremlin Interactive
Jungle Wars 2: Kodai Mahou Atimos no Nazo,Atelier Double
Jurassic Park,Ocean Software
Jurassic Park 2: The Chaos Continues,Ocean Software
Justice League Task Force,Blizzard Entertainment
Jutei Senki,Tam Tam
JWP Joshi Pro Wrestling: Pure Wrestle Queens,
Ka-Blooey •BombuzalJP,Kemco
Kabuki-chou Reach Mahjong: Toupuusen,Studio Softmov
Kabuki Rocks,Red Company
Kachou Kousaku Shima: Super Business Adventure,Tom Create
Kakinoki Shougi,SAS Sakata
Kamaitachi no Yoru,
Kamen Rider,Sun L
Kamen Rider SD: Shutsugeki!! Rider Machine,
Kat's Run: Zen-Nippon K Car Senshuken,Atlus
Katou Ichi-Ni-San Kudan Shougi Club,Hect
Kawa no Nushi Tsuri 2,
Kawasaki Caribbean Challenge,Park Place Productions
Kawasaki Superbike Challenge,Domark
Keeper,Fupac
Keiba Eight Special,C-Lab
Keiba Eight Special 2,C-Lab
Kachiuma Yosou Soft: Baken Renkinjutsu,
Ken Griffey Jr. Presents Major League Baseball,Software Creations
Ken Griffey Jr.'s Winning Run,Rare
Kendo Rage •Makeruna! MakendouJP,Affect
Kenyuu Densetsu Yaiba,Atelier Double
Kero Kero Keroppi no Bōken Nikki: Nemureru Mori no Keroleen,
Kessen! Dokapon Okukoku IV: Densetsu no Yuusha Tachi [a],
Kevin Keegan's Player Manager •K.H. Rummenigge's Player ManagerGER,Anco
Kick Off •Super Kick OffJP,Anco
Kick Off 3: European Challenge,Anco
Kid Klown in Crazy Chase [a] [b],Kemco
Kidou Butouden G-Gundam,Pandora Box
Kidou Senshi Gundam: Cross Dimension 0079,
Kidou Senshi Gundam F91: Formula Senki 0122,Nova Games
Kidou Senshi V Gundam,Tose
Kidou Senshi Z Gundam: Away to the NewType,
Kidō Keisatsu Patlabor,Interbec
Kikou Keisatsu Metal Jack •Metal Jack: Armored PoliceNA,Atlus
Kikuni Masahiko no Jantoushi Dora Ou,C-Lab
Kikuni Masahiko no Jantoushi Dora Ou 2,
Killer Instinct,Rare
Kindai Mahjong Special,Outback
King Arthur & the Knights of Justice,Manley & Associates
King Arthur's World •Royal ConquestJP,Argonaut Software
The King of Dragons,Capcom
King of the Monsters,Genki
King of the Monsters 2,Now ProductionWinds
The King of Rally,KAZe
Kingyo Chuuihou! Tobidase Game Gakuen,
Kinnikuman: Dirty Challenger,
Kirby no Kirakira Kizzu [b],HAL Laboratory
Kirby Super Star •Kirby's Fun PakEU •Hoshi no Kirby Super DeluxeJP,HAL Laboratory
Kirby's Avalanche •Kirby's Ghost TrapEU •Super Puyo PuyoJP [a],Compile
Kirby's Dream Course •Kirby BowlJP,HAL LaboratoryNintendo EAD
Kirby's Dream Land 3 •Hoshi no Kirby 3JP,HAL Laboratory
Kishin Douji Zenki: Batoru Raiden,CAProduction
Kishin Douji Zenki: Denei Raibu,Now Production
Kishin Douji Zenki: Tenchi Meidou,
Kishin Korinden Oni,Pandora Box
Kiteretsu Daihyakka: Choujikuu Sugoroku,Video System
Knights of the Round,Capcom
Konpeki no Kantai,Access
Kouryaku Casino Bar,Nichibutsu
Kouryuu Densetsu Villgust,Winkysoft
Kouryuu no Mimi,VAP
Koushien 2,Affect
Koushien 3,Magical Company
Koushien 4,Magical Company
Kousoku Shikou: Shougi Ou,Access
Koutetsu no Kishi [b],Dual
Koutetsu no Kishi 2: Sabaku no Rommel Shougun,Dual
Koutetsu no Kishi 3: Gekitotsu Europe Sensen,Dual
Krusty's Super Fun House •Krusty WorldJP,Audiogenic
Kunio no Oden,
Kunio-kun no Dodgeball da yo Zen'in Shūgō!!,Technōs Japan
Kuusou Kagaku Sekai Gulliver Boy,Amble
Kyle Petty's No Fear Racing •Circuit USAJP,Leland Interactive Media
Kyouraku Sanyou Maruhon Parlor! Parlor!,
Kyouraku Sanyou Maruhon Parlor! Parlor! 2,
Kyouraku Sanyou Maruhon Parlor! Parlor! 3,
Kyouraku Sanyou Maruhon Parlor! Parlor! IV CR,
Kyouraku Sanyou Maruhon Parlor! Parlor! 5,
Kyuuyaku Megami Tensei,Opera House
Lady Stalker: Challenge from the Past,Climax Entertainment
Lagoon,Kemco
Lamborghini American Challenge,Titus Software
Laplace no Ma,
Last Action Hero,Bits Studios
The Last Battle,Atelier Double
Last Bible III [b],Multimedia Intelligence Transfer
The Lawnmower Man •Virtual WarsJP,Sales Curve Interactive
Leading Company,Koei
Leading Jockey,
Leading Jockey 2,
Legend,Arcade Zone
The Legend of the Mystical Ninja •Ganbare Goemon: Yukihime Kyuushutsu EmakiJP,Konami
The Legend of Zelda: A Link to the Past [c] •Zelda no Densetsu: Kamigami no TriforceJP [a],Nintendo EAD
Lemmings [a],Psygnosis
Lemmings 2: The Tribes,Psygnosis
Lennus II: Fuuin no Shito [b],Copya Systems
Lester the Unlikely •Odekake Lester: Lelele no LeJP,Visual Concepts
Lethal Enforcers,Konami
Lethal Weapon,Ocean Software
Liberty or Death •Dokuritsu Sensou: Liberty or DeathJP,Koei
Libble Rabble,Namco
Light Fantasy,Advance Communication Company
Light Fantasy II,
The Lion King,Westwood Studios
Little Magic,
Little Master: Nijiiro no Maseki,Tokuma Shoten
Live A Live,Square
Lock On •Super Air DiverEU,Copya Systems
Lode Runner Twin: Justy to Liberty no Daibouken,
Lodoss Tou Senki: Record of Lodoss War,Thinking Rabbit
Logos Panic,Kan's
Looney Tunes B-Ball •Looney Tunes BasketballEU,Sculptured Software
Lord Monarch [a] [b],AIM
The Lost Vikings •Viking no DaimeiwakuJP,Silicon & Synapse
The Lost Vikings 2,Blizzard Entertainment
Love Quest,C-Lab
Lucky Luke,Infogrames
Lufia & the Fortress of Doom •Estpolis DenkiJP [a],Neverland
Lufia II: Rise of the Sinistrals •LufiaEU •Estpolis Denki IIJP,Neverland
Lupin III: Densetsu no Hihō o Oe!,Pop HouseSAS Sakata
Madden NFL '94 •NFL Pro Football '94JP,Visual Concepts
Madden NFL '95,Visual Concepts
Madden NFL '96,Tiburon Entertainment
Madden NFL 97,Tiburon Entertainment
Madden NFL 98,Electronic Arts
Madou Monogatari: Hanamaru Daiyouchienji,Compile
Magic Boy,Blue Turtle
Magic Knight Rayearth,Pandora Box
Magic Sword,Minakuchi Engineering
Magical Drop,Data East
Magical Drop 2 •Magical Drop IINA [b],Data East
The Magical Quest Starring Mickey Mouse •Mickey no Magical AdventureJP,Capcom
Magical Pop'n,Polestar
Magical Taruruuto-kun: Magic Adventure,Tose
Magna Braban: Henreki no Yuusha,Lenar
Mahjong Club,Natsu System
Mahjong Gokuu Tenjiku,Chat Noir
Mahjong Hanjouki,
Mahjong Sengoku Monogatari,Khaos
Mahjong Taikai II,
The Mahjong Touhaiden,Khaos
Mahou Poi Poi Poitto!,Metro
Mahoujin Guru Guru [ja],Tam Tam
Mahoujin Guru Guru 2,Tam Tam
Majin Tensei [b],Atlus
Majin Tensei II: Spiral Nemesis [b],Atlus
Major Title •The Irem Skins GameNA,Irem
Majyūō,Prism Kikaku Ltd.
Maka Maka,Office Koukan
Makeruna! Makendou 2: Kimero Youkai Souri,Success
Manchester United Championship Soccer •Lothar Matthäus Super SoccerGER,Krisalis Software
Marchen Adventure Cotton 100%,Success
Mario & Wario,Game Freak
Mario is Missing!,The Software Toolworks
Mario no Super Picross,ApeJupiter
Mario Paint [a],Nintendo R&D1Intelligent Systems
Mario's Early Years! Fun with Letters,The Software Toolworks
Mario's Early Years! Fun with Numbers,The Software Toolworks
Mario's Early Years! Preschool Fun,The Software Toolworks
Mario's Time Machine,The Software Toolworks
Mark Davis' The Fishing Master •Oomono Black Bass Fishing: Jinzouko HenJP,"Natsume Co., Ltd."
Marko's Magic Football,Domark
Marmalade Boy,Kuusoukagaku
Marvel Super Heroes: War of the Gems,Capcom
Marvelous: Mouhitotsu no Takarajima,Nintendo R&D2
Mary Shelley's Frankenstein,Bits Studios
The Mask,Black Pearl Software
Maten Densetsu: Senritsu no Ooparts,Thinking Rabbit
Math Blaster: Episode 1,Western Technologies
Matsukata Hiroki no Super Trawling,Atelier Double
Matsumura Kunihiro Den: Saikyou no Rekishi o Nurikaero!,Office Koukan
Maui Mallard in Cold Shadow •Donald in Maui MallardEU,Eurocom Entertainment Software
Mazinger Z,Winkysoft
Mecarobot Golf •Serizawa Nobuo no Birdie TryJP,Toho
MechWarrior •BattleTechJP,Beam Software
MechWarrior 3050 •BattleTech 3050JP,Tiburon Entertainment
Mega-Lo-Mania •Mega Lo Mania: Jikū DaisenryakuJP,Sensible Software
Mega Man 7 •Rockman 7: Shukumei no Taiketsu!JP [b],Capcom
Mega Man Soccer •Rockman's SoccerJP,Sun L
Mega Man X [c] •Rockman XJP [b],Capcom
Mega Man X2 •Rockman X2JP,Capcom
Mega Man X3 [c] •Rockman X3JP,Minakuchi Engineering
Mega Man & Bass •Rockman & ForteJP,Capcom
Melfand Stories,Sting Entertainment
Metal Combat: Falcon's Revenge,Nintendo R&D1Intelligent Systems
Metal Marines •MilitiaJP [b],Namco
Metal Max 2 [b],Crea-TechData East
Metal Max Returns,Crea-TechData East
Metal Morph,Origin Systems
Metal Slader Glory: Director's Cut [d],HAL Laboratory
Metal Warriors,LucasArts
Michael Andretti's Indy Car Challenge,Genki
Michael Jordan: Chaos in the Windy City,Electronic Arts
Mickey Mania: The Timeless Adventures of Mickey Mouse,Traveller's Tales
Mickey no Tokyo Disneyland Daibōken,Graphic Research
Mickey to Donald: Magical Adventure 3,Sun L
Mickey's Ultimate Challenge,Designer Software
Micro Machines,Codemasters
Micro Machines 2: Turbo Tournament,Codemasters
Might and Magic II: Gates to Another World •Might and Magic: Book IIJP,New World Computing
Might and Magic III: Isles of Terra,Iguana Entertainment
Mighty Morphin Power Rangers,"Natsume Co., Ltd."
Mighty Morphin Power Rangers: The Movie,"Natsume Co., Ltd."
Mighty Morphin Power Rangers: The Fighting Edition,"Natsume Co., Ltd."
Milandra,Tomcat System
Mini Yonku Let's & Go!!: Power WGP 2,Jupiter
Mini Yonku Shining Scorpion: Let's & Go!!,KID
Miracle Casino Paradise,
Miracle Girls,Now Production
Miracle Piano,The Software Toolworks
Miyaji Shachou no Pachinko Fan: Shouri Sengen 2,
Mizuki Shigeru no Youkai Hyakkiyakou,
MLBPA Baseball •Fighting BaseballJP,Visual Concepts
Mohawk & Headphone Jack,Solid Software
Momotarō Dentetsu Happy [ja],Make
Monopoly,Sculptured Software
Monopoly (Japanese game),ApeCreamSoft
The Monopoly Game 2,ApeTomcat System
Monstania,Bits Laboratory
Monster Maker III: Hikari no Majutsushi,
Monster Maker Kids: Ousama ni Naritai,
Mortal Kombat,Sculptured Software
Mortal Kombat II,Sculptured Software
Mortal Kombat 3,Sculptured Software
Mōryō Senki MADARA 2,Konami
Motteke Oh! Dorobou,
Mountain Bike Rally,Radical Entertainment
Mr. Do!,C-Lab
Mr. Nutz,Ocean Software
Ms. Pac-Man,Digital Eclipse Software
Mujintou Monogatari,Open Sesame
Multi Play Volleyball,Mebio Software
Musya •Gousou Jinrai Densetsu MusyaJP,Jorudan
Mystery Circle,Sammy Corporation
Mystic Ark,Produce
Nage Libre: Seijaku no Suishin,
Nakajima Satoru F-1 Hero '94,
Nakano Koichi Kanshuu: Keirin-Ou,C-Lab
Naki no Ryū: Mahjong Hishō-den,
Namco Open,Tose
Nankoku Shōnen Papuwa-kun,Daft
Naruhodo! The World,
Natsuki Crisis Battle,Tose
Natsume Championship Wrestling •Zen-Nippon Pro Wrestling Dash: Sekai Saikyō TagJP,"Natsume Co., Ltd."
NBA All-Star Challenge,Beam Software
NBA Give 'n Go •NBA Jikkyou Basket: Winning DunkJP,Konami
NBA Hangtime,Funcom
NBA Jam,Iguana Entertainment
NBA Jam Tournament Edition [c],Iguana Entertainment
NBA Live 95,Electronic Arts
NBA Live 96,Electronic Arts
NBA Live 97,Electronic Arts
NBA Live 98,EA SportsTiertex Design Studios
NBA Showdown •NBA Pro Basketball '94: Bulls vs SunsJP,Electronic Arts
NCAA Basketball •World League BasketballEU •Super Dunk ShotJP,Sculptured Software
NCAA Final Four Basketball,Bitmasters
NCAA Football,The Software Toolworks
Nekketsu Tairiku Burning Heroes [ja],J-Force
Neugier: Umi to Kaze no Kodō •The Journey Home: Quest for the ThroneNA,Wolf Team
New Yatterman: Nandai Kandai Yajirobee [a],Tom Create
Newman/Haas IndyCar featuring Nigel Mansell •Nigel Mansell Indy CarJP,Gremlin Interactive
NFL Football,Park Place Productions
NFL Quarterback Club,Iguana Entertainment
NFL Quarterback Club 96,Iguana Entertainment
NHL '94 •NHL Hockey '94EU •NHL Pro Hockey '94JP,Electronic Arts
NHL 95,Visual ConceptsHigh Score Productions
NHL 96,High Score ProductionsTiburon Entertainment
NHL 97,Ceris Software
NHL 98,THQ
NHL Stanley Cup •Super HockeyEU,Sculptured Software
NHLPA Hockey '93,Electronic Arts
Nice de Shot,Magical Company
Nichibutsu Arcade Classics,Syscom
Nichibutsu Arcade Classics 2: Heiankyo Alien,Syscom
Nichibutsu Collection 1,
Nichibutsu Collection 2,
Nickelodeon Guts,Viacom New Media
Nigel Mansell's World Championship Racing •Nigel Mansell's World ChampionshipEU •Nigel Mansell's F-1 ChallengeJP,Gremlin Interactive
Ninja Gaiden Trilogy •Ninja Ryuukenden TomoeJP,Tecmo
Ninja Warriors •Ninja Warriors: The New GenerationEU •The Ninja Warriors AgainJP,"Natsume Co., Ltd."
Nintama Rantarou,
Nintama Rantarou: Ninjutsu Gakuen Puzzle Taikai no Dan,
Nintama Rantarou 2 [a],
Nintama Rantarou 3,
Nintama Rantarou Special [a],
Nishijin Pachinko Monogatari,
Nishijin Pachinko Monogatari 2,Soft Machine
Nishijin Pachinko Monogatari 3,Soft Machine
No Escape,Bits Studios
Nobunaga Kouki,
Nobunaga no Yabou: Haouden,
Nobunaga no Yabou: Tenshouki,
Nobunaga's Ambition •Nobunaga no Yabou: ZenkokubanJP,Koei
Nobunaga's Ambition: Lord of Darkness •Super Nobunaga no Yabou: Bushou Fuu'unrokuJP,Koei
Nomark Baku Haitou: Shijou Saikyou no Jakushi Tatsu,
Nolan Ryan's Baseball •Super StadiumJP,Romstar
Nontan to Issho: Kurukuru Puzzle,Game Freak
Nosferatu,SETA
Numbers Paradise,ISCO
Obitus,Psygnosis
O-Chan no Oekaki Logic,Game Studio
Oda Nobunaga: Haou no Gundan,Tose
Oekaki Logic [d],
Oekaki Logic 2 [d],
Ogre Battle: The March of the Black Queen •Densetsu no Ogre BattleJP [b],Quest Corporation
Olympic Summer Games,Black Pearl SoftwareTiertex Design Studios
Okamoto Ayako to Match Play Golf,C.P. Brain
Olivia's Mystery,
On the Ball •CameltryJP [b],Taito
Ongaku Tsukuuru: Kanadeeru,Success
Onita Atsushi FMW,Marionette
Onizuka Katsuya Super Virtual Boxing,Sting Entertainment
Operation Europe: Path to Victory 1939–1945 •Europa SensenJP,Koei
Operation Logic Bomb •Ikari no YousaiJP [a],Jaleco
Operation Thunderbolt,Aisystem Tokyo
Oraga Land Shusai: Best Farmer Shuukaku-Sai,Graphic Research
Oscar,Flair Software
Ossu!! Karatebu,Culture Brain
Othello World,Dice
Otoboke Ninja Colosseum,Mint
Otogirisou [b],Chunsoft
Out to Lunch •Pierre le Chef is... Out to LunchEU,Mindscape
Outlander,Mindscape
Ōzumō Spirit,
P.T.O.: Pacific Theater of Operations •Teitoku no KetsudanJP,Koei
P.T.O. II: Pacific Theater of Operations •Teitoku no Ketsudan IIJP,Koei
Pac-Attack •Cosmo Gang the PuzzleJP [b],Namco
Pac-In-Time,Kalisto Entertainment
Pac-Man 2: The New Adventures •Hello! Pac-ManJP,Namco
Pachi-Slot Kanzen Kouryaku: Universal Shindai Nyuuka Volume 1,
Pachi-Slot Kenkyuu,
Pachi-Slot Land,I.S.C.
Pachi-Slot Love Story,
Pachi-Slot Monogatari: Paru Kougyou Special,KAZe
Pachi-Slot Monogatari: Universal Special,KAZe
Pachi-Slot Shoubushi,Nihon Bussan
Pachinko Challenger,
Pachinko Fan: Shouri Sengen,
Pachinko Hi Hisshouhou,Jorudan
Pachinko Monogatari: Pachi-Slot mo Aru deyo!!,KAZe
Pachinko Monogatari 2: Nagoya Shachihoko no Teiou,KAZe
Pachinko Renchan Tengoku: Super CR Special,Jorudan
Pachinko Wars,OeRSTED
Pachinko Wars II,OeRSTED
Pachiokun Special,Marioette
Pachiokun Special 2,Marioette
Pachiokun Special 3,Marioette
Packy and Marlon,WaveQuest
The Pagemaster,Probe Entertainment
Paladin's Quest •Lennus: Kodai Kikai no KiokuJP [b],Asmik Ace Entertainment
Panic in Nakayoshi World,Tom Create
Paperboy 2,Eastridge Technology
Parlor! Mini: Pachinko Jikki Simulation Game,
Parlor! Mini 2: Pachinko Jikki Simulation Game,
Parlor! Mini 3: Pachinko Jikki Simulation Game,
Parlor! Mini 4: Pachinko Jikki Simulation Game,
Parlor! Mini 5: Pachinko Jikki Simulation Game,
Parlor! Mini 6: Pachinko Jikki Simulation Game,
Parlor! Mini 7: Pachinko Jikki Simulation Game,
Parodius: Non-Sense Fantasy •Parodiusu Da! Shinwa kara OwaraiJP [b],Konami
The Peace Keepers •Rushing Beat ShuraJP,Jaleco
Pebble Beach no Hatou New: Tournament Edition,T&E Soft
PGA European Tour,Electronic Arts
PGA Tour 96,Electronic Arts
PGA Tour Golf,Polygames
Phalanx •Phalanx: The Enforce Fighter A-144JP [b],Kemco
Phantom 2040,Viacom New Media
Picross NP Vol. 1 [d],Jupiter
Picross NP Vol. 2 [d],Jupiter
Picross NP Vol. 3 [d],Jupiter
Picross NP Vol. 4 [d],Jupiter
Picross NP Vol. 5 [d],Jupiter
Picross NP Vol. 6 [d],Jupiter
Picross NP Vol. 7 [d],Jupiter
Picross NP Vol. 8 [d],Jupiter
Pieces •Jigsaw PartyJP,Prism Kikaku
Pikiinya!,Crea-Tech
Pilotwings,Nintendo EAD
Pinball Dreams •Pinball PinballJP,Spidersoft
Pinball Fantasies,Spidersoft
Pink Goes to Hollywood •Pink PantherJP,Manley & Associates
Pinocchio,Virgin Interactive Entertainment
Pipe Dream,Tose
Pirates of Dark Water,Sunsoft
Pitfall: The Mayan Adventure •Pitfall: Maya no DaiboukenJP,Redline Games
Pit-Fighter,Eastridge Technology
Plok,Software Creations
Pocky & Rocky •KiKi KaiKai: Nazo no Kuro MantleJP [a] [b],"Natsume Co., Ltd."
Pocky & Rocky 2 •KiKi KaiKai: TsukiyozoushiJP,"Natsume Co., Ltd."
Poko-Nyan! Henpokorin Adventure,
Pop'n TwinBee [b],Konami
Pop'n TwinBee: Rainbow Bell Adventures •TwinBee – Rainbow Bell AdventureJP [b],Konami
Popeye: Ijiwaru Majo Sea Hag no Maki,Technōs Japan
Popful Mail,Falcom
Populous,Bullfrog Productions
Populous II: Trials of the Olympian Gods,Bullfrog Productions
Porky Pig's Haunted Holiday,Phoenix Interactive Entertainment
Power Drive,Rage Software
Power Instinct •Gouketsuji IchizokuJP,Atlus
Power Lode Runner [d],Atelier Double
Power Moves •Power AthleteJP,Kaneko
Power of the Hired,NCS
Power Piggs of the Dark Age,Radical Entertainment
Power Rangers Zeo: Battle Racers,"Natsume Co., Ltd."
Power Soukoban,Atelier Double
Powermonger •Powermonger: Mashou no BouryakuJP,Bullfrog Productions
Prehistorik Man •P-ManJP,Titus Software
Primal Rage,Bitmasters
Prince of Persia,Arsys Software
Prince of Persia 2: The Shadow and the Flame,Titus Software
Princess Maker: Legend of Another World,Gainax
Princess Minerva,Atelier Double
Pro Kishi Jinsei Simulation: Shougi no Hanamichi,Access
Pro Mahjong Kiwame,
Pro Mahjong Kiwame II,
Pro Mahjong Kiwame III,
Pro Mahjong Tsuwamono,
Pro Mahjong Tsuwamono: Renka Han,
Pro Quarterback,Leland Interactive Media
Pro Sport Hockey •USA Ice HockeyJP,Tose
Pro Yakyuu Nettou: Puzzle Stadium,
Pro Yakyuu Star,Culture Brain
Psycho Dream •Dream ProbeNA,Riot
Pushover,Red Rat Software
Putty Squad,System 3
Puzzle'n Desu!,Nichibutsu
Q*bert 3,Realtime Associates
Race Drivin',Imagineering
Radical Rex,Laser Beam Entertainment
Raiden Trad •Raiden DensetsuJP,Seibu KaihatsuToei CompanyMicronics
Rampart,Bitmasters
Ranma ½: Akaneko-dan teki Hihou,
Ranma ½: Chougi Rambuhen •Ranma ½ II: Anything Goes Martial ArtsNA,Atelier Double
Ranma ½: Hard Battle •Ranma ½EU •Ranma Nibun-no-Ichi: Bakuretsu RantōhenJP,Atelier Double
Ranma ½: Ougi Jaanken,Atelier Double
Rap Jam: Volume One,64WD Creation
Realm,Titus Software
Redline F-1 Racer •Aguri Suzuki F-1 Super DrivingEU •Suzuki Aguri no F-1 Super DrivingJP,Genki
Rejoice: Aretha Ōkoku no Kanata,Japan Art Media
Relief Pitcher,Eastridge Technology
The Ren & Stimpy Show: Buckeroo$!,Imagineering
The Ren & Stimpy Show: Fire Dogs,Argonaut Software
The Ren & Stimpy Show: Time Warp,Sculptured Software
The Ren & Stimpy Show: Veediots!,Gray Matter
Rendering Ranger: R2 •TargaEU,Rainbow Arts
Res Arcana: Diana Ray: Uranai no Meikyuu,Marionette
Revolution X,Rage Software
Rex Ronan: Experimental Surgeon,Sculptured Software
Riddick Bowe Boxing •ChavezMX,Malibu Interactive
Ring ni Kakero [d],Earthly Soft
Rise of the Phoenix •KouryuukiJP,Koei
Rise of the Robots,MirageT&E Soft
Rival Turf! •Rushing BeatJP,Jaleco
Road Riot 4WD,Equilibrium
Road Runner's Death Valley Rally •Looney Tunes: Road RunnerEU •Road Runner vs. Wile E. CoyoteJP,ICOM Simulations
RoboCop 3,Ocean Software
RoboCop Versus The Terminator,Interplay Entertainment
Robotrek •Slap StickJP,Quintet
Rock n' Roll Racing,Silicon & Synapse
The Rocketeer,NovaLogic
Rocko's Modern Life: Spunky's Dangerous Day,Viacom New Media
Rocky Rodent •Nitropunks: MightheadsJP,Irem
Roger Clemens' MVP Baseball •MVP BaseballJP,Sculptured Software
Rokudenashi Blues: Taiketsu! Tokyo Shitennou,Tose
Romance of the Three Kingdoms II •Super Sangokushi IIJP,Koei
Romance of the Three Kingdoms III: Dragon of Destiny •Sangokushi IIIJP,Koei
Romance of the Three Kingdoms IV: Wall of Fire •Sangokushi IVJP,Koei
Romancing SaGa,Square
Romancing SaGa 2 [c],Square
Romancing SaGa 3,Square
RPM Racing,Silicon & Synapse
R-Type III: The Third Lightning,Tamtex
Rudra no Hihō,Square
Ruin Arm,Tose
Run Saber,Hori Electric
Ryuukihei Dan Danzarubu,Pandora Box
Ryuuko no Ken 2,Monolith Corporation
Saibara Rieko no Mahjong Hourouki,"Natsume Co., Ltd."
Saikousoku Shikou Shougi Mahjong,
Saikyou: Takada Nobuhiko,Dual
Sailor Moon •Bishōjo Senshi Sailor MoonJP,Angel
Sakurai Shouichi no Jankiryuu: Mahjong Hisshouhou,J-Force
Same Game,Hudson Soft
Samurai Shodown •Samurai SpiritsJP,Takara
Sangokushi Eiketsuden,
Sangokushi Seishi: Tenbu Spirits,Wolf Team
Sankyo Fever! Fever!,
Sanrio Shanghai,SAS Sakata
Sanrio World Smash Ball!,ApeTomcat System
Sansara Naga 2,
Saturday Night Slam Masters •Muscle BomberJP,Capcom
Scooby-Doo Mystery,Argonaut Software
SD F-1 Grand Prix,Video System
SD Gundam G Next,Japan Art Media
SD Gundam Gaiden: Knight Gundam Monogatari: Ooinaru Isan,Tose
SD Gundam Gaiden 2: Entaku no Kishi,Tose
SD Gundam GX,BEC
SD Gundam Power Formation Puzzle,Tom Create
SD Gundam X,BEC
SD Hiryuu no Ken,
SD Kidou Senshi Gundam: V Sakusen Shidou,Tose
SD Kidou Senshi Gundam 2,Tose
SD the Great Battle •The Great BattleNA,Banpresto
SeaQuest DSV,Sculptured Software
Secret of Evermore,Square
Secret of Mana •Seiken Densetsu 2JP,Square
Secret of the Stars •AqutallionJP,Tecmo
Seifuku Densetsu: Pretty Fighter,
Seijuu Maden: Beasts & Blades,
Sengoku Denshou •SengokuNA,
Sengoku no Hasha,Bits Laboratory
Sensible Soccer: European Champions •Championship Soccer '94NA,Sensible Software
Sgt. Saunders' Combat!,Play Avenue Chickenhead
Shadowrun,Beam Software
Shanghai: Banri no Choujou [a],Kuusoukagaku
